Date,BIO,Rates
2022-04-29 00:00:00-04:00,512.0599975585938,-0.002046321106476512
2022-05-02 00:00:00-04:00,501.4200134277344,-0.020778784090905056
2022-05-03 00:00:00-04:00,500.92999267578125,-0.0009772660421017987
2022-05-04 00:00:00-04:00,513.5800170898438,0.025253078472085022
2022-05-05 00:00:00-04:00,507.45001220703125,-0.01193583215629701
2022-05-06 00:00:00-04:00,501.4599914550781,-0.011804159242998047
2022-05-09 00:00:00-04:00,479.04998779296875,-0.04468951470501692
2022-05-10 00:00:00-04:00,490.1700134277344,0.023212662390404537
2022-05-11 00:00:00-04:00,475.2200012207031,-0.03049964664808147
2022-05-12 00:00:00-04:00,482.80999755859375,0.01597154227177744
2022-05-13 00:00:00-04:00,502.1099853515625,0.03997429193795132
