<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
comex.GC,D,29/06/21,000000,1775.1000000,1779.0000000,1750.1000000,1761.3000000,227294
comex.GC,D,30/06/21,000000,1761.2000000,1776.5000000,1753.2000000,1776.3000000,166720
comex.GC,D,01/07/21,000000,1776.3000000,1783.4000000,1768.0000000,1779.3000000,157357
comex.GC,D,02/07/21,000000,1779.2000000,1795.9000000,1774.4000000,1787.7000000,182440
comex.GC,D,04/07/21,000000,1787.5000000,1790.6000000,1784.7000000,1785.7000000,12023
comex.GC,D,05/07/21,000000,1785.8000000,1801.4000000,1784.8000000,1797.7000000,66623
comex.GC,D,06/07/21,000000,1797.7000000,1815.7000000,1790.2000000,1801.0000000,203404
comex.GC,D,07/07/21,000000,1800.9000000,1810.2000000,1796.3000000,1797.5000000,158111
comex.GC,D,08/07/21,000000,1797.4000000,1819.5000000,1793.5000000,1805.5000000,197822
comex.GC,D,09/07/21,000000,1805.6000000,1813.0000000,1796.6000000,1808.6000000,118962
comex.GC,D,11/07/21,000000,1808.5000000,1811.0000000,1802.3000000,1803.0000000,18476
comex.GC,D,12/07/21,000000,1803.0000000,1813.8000000,1791.0000000,1809.8000000,150593
comex.GC,D,13/07/21,000000,1809.8000000,1818.0000000,1798.7000000,1813.2000000,190889
comex.GC,D,14/07/21,000000,1813.2000000,1831.1000000,1810.2000000,1826.4000000,178459
comex.GC,D,15/07/21,000000,1826.4000000,1835.0000000,1820.6000000,1828.3000000,138080
comex.GC,D,16/07/21,000000,1828.4000000,1828.7000000,1809.5000000,1812.5000000,152014
comex.GC,D,18/07/21,000000,1811.6000000,1818.0000000,1810.9000000,1813.5000000,15951
comex.GC,D,19/07/21,000000,1813.5000000,1819.8000000,1795.0000000,1818.0000000,189083
comex.GC,D,20/07/21,000000,1818.0000000,1825.9000000,1805.2000000,1809.3000000,179420
comex.GC,D,21/07/21,000000,1809.3000000,1814.4000000,1794.3000000,1798.4000000,157605
comex.GC,D,22/07/21,000000,1798.3000000,1809.2000000,1791.9000000,1803.4000000,144676
comex.GC,D,23/07/21,000000,1803.4000000,1810.7000000,1789.1000000,1802.1000000,140002
comex.GC,D,25/07/21,000000,1802.3000000,1807.8000000,1798.6000000,1807.1000000,16995
comex.GC,D,26/07/21,000000,1807.1000000,1812.0000000,1794.2000000,1798.9000000,131853
comex.GC,D,27/07/21,000000,1798.9000000,1807.6000000,1792.8000000,1806.4000000,130263
comex.GC,D,28/07/21,000000,1806.4000000,1816.5000000,1790.7000000,1814.5000000,87639
comex.GC,D,29/07/21,000000,1814.1000000,1835.3000000,1813.8000000,1833.0000000,29329
comex.GC,D,30/07/21,000000,1832.9000000,1835.5000000,1813.1000000,1816.9000000,127616
comex.GC,D,01/08/21,000000,1817.0000000,1819.9000000,1811.4000000,1814.8000000,25402
comex.GC,D,02/08/21,000000,1814.9000000,1823.2000000,1808.2000000,1813.7000000,141092
comex.GC,D,03/08/21,000000,1813.7000000,1818.6000000,1809.5000000,1816.5000000,96053
comex.GC,D,04/08/21,000000,1816.5000000,1835.9000000,1808.3000000,1813.7000000,234056
comex.GC,D,05/08/21,000000,1813.7000000,1817.9000000,1799.7000000,1803.4000000,162773
comex.GC,D,06/08/21,000000,1803.4000000,1804.6000000,1759.5000000,1763.5000000,281110
comex.GC,D,08/08/21,000000,1765.0000000,1765.7000000,1677.9000000,1739.2000000,91685
comex.GC,D,09/08/21,000000,1739.3000000,1754.0000000,1725.1000000,1738.4000000,200920
comex.GC,D,10/08/21,000000,1738.3000000,1739.4000000,1718.5000000,1734.6000000,171184
comex.GC,D,11/08/21,000000,1734.6000000,1756.7000000,1729.4000000,1752.2000000,171364
comex.GC,D,12/08/21,000000,1752.1000000,1759.6000000,1742.6000000,1756.5000000,129773
comex.GC,D,13/08/21,000000,1756.5000000,1781.9000000,1755.7000000,1781.5000000,128686
comex.GC,D,15/08/21,000000,1781.0000000,1784.4000000,1778.0000000,1778.2000000,16264
comex.GC,D,16/08/21,000000,1778.2000000,1791.3000000,1772.0000000,1787.7000000,126564
comex.GC,D,17/08/21,000000,1787.7000000,1797.6000000,1782.1000000,1792.1000000,138236
