<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IMOEX,D,01/06/20,000000,2761.2300000,2773.5600000,2733.2800000,2750.2400000,75200963162
IMOEX,D,02/06/20,000000,2760.6300000,2796.5200000,2754.8500000,2796.5100000,94796949530
IMOEX,D,03/06/20,000000,2812.8200000,2835.0600000,2792.2400000,2831.0800000,121680253623
IMOEX,D,04/06/20,000000,2822.5900000,2825.4800000,2757.6100000,2766.2600000,130632296663
IMOEX,D,05/06/20,000000,2780.3200000,2800.8100000,2769.5100000,2792.7400000,100284833455
IMOEX,D,08/06/20,000000,2806.8100000,2825.3100000,2782.9200000,2796.3000000,96892863097
IMOEX,D,09/06/20,000000,2804.3600000,2813.4800000,2765.1500000,2795.9000000,78686730146
IMOEX,D,10/06/20,000000,2795.1000000,2803.3500000,2768.3000000,2785.1800000,89454120662
IMOEX,D,11/06/20,000000,2753.6300000,2758.8300000,2726.1500000,2743.8000000,94517987304
IMOEX,D,15/06/20,000000,2703.0400000,2720.4000000,2670.4100000,2719.0600000,86497601732
IMOEX,D,16/06/20,000000,2744.4900000,2779.7100000,2741.8400000,2748.3000000,81225105647
IMOEX,D,17/06/20,000000,2758.2200000,2771.2600000,2733.9000000,2740.1000000,69771427040
IMOEX,D,18/06/20,000000,2731.2900000,2738.0400000,2700.5400000,2724.3300000,77604681777
IMOEX,D,19/06/20,000000,2742.5900000,2769.8600000,2738.4500000,2758.6700000,89037583759
IMOEX,D,22/06/20,000000,2746.6100000,2763.2900000,2726.6500000,2763.2900000,59988625046
IMOEX,D,23/06/20,000000,2775.2900000,2794.4300000,2767.4600000,2791.9700000,60354831771
IMOEX,D,25/06/20,000000,2746.3100000,2771.6000000,2740.6500000,2760.7500000,77705987111
IMOEX,D,26/06/20,000000,2779.0700000,2784.8900000,2746.7800000,2761.7400000,57008606029
IMOEX,D,29/06/20,000000,2748.4800000,2767.9500000,2737.8600000,2767.9500000,56287025267
IMOEX,D,30/06/20,000000,2773.3900000,2778.0900000,2743.2000000,2743.2000000,61943509213
IMOEX,D,02/07/20,000000,2758.9200000,2789.9200000,2758.9200000,2788.7900000,62424581353
IMOEX,D,03/07/20,000000,2790.6300000,2803.3200000,2782.6500000,2801.6600000,40610098890
IMOEX,D,06/07/20,000000,2825.5100000,2855.9400000,2825.5100000,2835.1800000,73695447848
IMOEX,D,07/07/20,000000,2822.9000000,2835.7600000,2814.4000000,2825.2100000,61989347407
IMOEX,D,08/07/20,000000,2811.8700000,2823.0000000,2806.5000000,2815.8300000,56770187936
IMOEX,D,09/07/20,000000,2804.9800000,2810.7400000,2773.4800000,2782.4300000,64509467616
IMOEX,D,10/07/20,000000,2766.1200000,2800.9400000,2765.4900000,2800.9400000,52675376382
IMOEX,D,13/07/20,000000,2806.6800000,2818.1000000,2765.0900000,2766.7900000,59062967791
IMOEX,D,14/07/20,000000,2749.5700000,2749.5700000,2703.3500000,2744.5400000,78664022706
IMOEX,D,15/07/20,000000,2731.9600000,2763.2000000,2724.3500000,2747.9100000,66876997192
IMOEX,D,16/07/20,000000,2746.8800000,2762.6800000,2734.3000000,2760.0100000,43145441366
IMOEX,D,17/07/20,000000,2758.3400000,2774.7900000,2752.5100000,2774.7900000,41113383417
IMOEX,D,20/07/20,000000,2770.9800000,2802.2400000,2758.6900000,2802.2400000,50915459757
IMOEX,D,21/07/20,000000,2816.2900000,2849.1800000,2813.4000000,2825.7100000,81672920482
IMOEX,D,22/07/20,000000,2824.7600000,2844.1200000,2815.0300000,2834.6500000,55532469270
IMOEX,D,23/07/20,000000,2851.8900000,2866.7800000,2843.9300000,2851.7900000,55384618689
IMOEX,D,24/07/20,000000,2831.7000000,2863.1200000,2822.2600000,2863.1200000,59473274346
IMOEX,D,27/07/20,000000,2872.8200000,2896.2800000,2869.7500000,2884.8800000,65271567734
IMOEX,D,28/07/20,000000,2899.4900000,2907.0300000,2877.4000000,2895.4500000,60720735494
IMOEX,D,29/07/20,000000,2892.8400000,2918.4200000,2889.6900000,2918.4200000,65283344649
IMOEX,D,30/07/20,000000,2915.3400000,2919.3500000,2869.9900000,2882.6300000,58998044299
IMOEX,D,31/07/20,000000,2903.9800000,2917.6900000,2899.5800000,2911.5700000,61904395535
IMOEX,D,03/08/20,000000,2918.1600000,2942.7700000,2911.1900000,2929.9700000,61064409541
IMOEX,D,04/08/20,000000,2935.1900000,2942.0600000,2923.3600000,2940.4600000,53379189530
IMOEX,D,05/08/20,000000,2954.9700000,2994.0800000,2952.1500000,2992.7800000,88713978904
IMOEX,D,06/08/20,000000,2997.1500000,3004.8300000,2981.7900000,2988.5000000,58301984562
IMOEX,D,07/08/20,000000,2990.6900000,2994.4600000,2968.4800000,2972.3500000,56258864420
IMOEX,D,10/08/20,000000,2980.4800000,2998.7800000,2960.7800000,2960.7800000,48019499660
IMOEX,D,11/08/20,000000,2966.9800000,3012.5800000,2966.9800000,3005.6300000,93734815375
IMOEX,D,12/08/20,000000,2990.4800000,3053.9900000,2985.2500000,3053.9900000,89279363514
IMOEX,D,13/08/20,000000,3056.2100000,3081.1500000,3047.7400000,3080.4400000,91764463491
IMOEX,D,14/08/20,000000,3074.0400000,3075.8100000,3044.7100000,3061.9900000,62096882708
IMOEX,D,17/08/20,000000,3071.3900000,3090.4200000,3041.9900000,3052.4600000,82525600190
IMOEX,D,18/08/20,000000,3056.7900000,3073.8500000,3048.3100000,3050.7000000,58562508471
IMOEX,D,19/08/20,000000,3049.1900000,3073.8400000,3041.4300000,3056.5400000,55321489953
IMOEX,D,20/08/20,000000,3042.6900000,3042.6900000,2993.6900000,2993.6900000,90101841899
IMOEX,D,21/08/20,000000,3013.4000000,3024.7100000,2973.1100000,2995.6100000,89980771052
IMOEX,D,24/08/20,000000,3005.8600000,3036.6300000,3005.8600000,3029.4200000,56090322437
IMOEX,D,25/08/20,000000,3045.3900000,3051.2700000,3020.4600000,3029.0500000,57974269707
IMOEX,D,26/08/20,000000,3039.5500000,3053.9000000,3024.0400000,3051.9700000,74241762708
IMOEX,D,27/08/20,000000,3051.2000000,3056.2500000,3002.1000000,3012.0100000,66131754150
IMOEX,D,28/08/20,000000,3015.7000000,3015.7000000,2976.3400000,2980.1700000,60139550850
IMOEX,D,31/08/20,000000,2993.9500000,3012.4400000,2962.0600000,2966.2000000,184001931133
IMOEX,D,01/09/20,000000,2976.0700000,2993.2800000,2967.9600000,2975.0000000,81890923134
IMOEX,D,02/09/20,000000,2989.7600000,3002.2500000,2946.2900000,2956.5000000,94988586744
IMOEX,D,03/09/20,000000,2953.9500000,2967.6100000,2917.2400000,2931.9200000,82989442207
IMOEX,D,04/09/20,000000,2920.2200000,2944.6600000,2910.3900000,2921.5500000,69997849774
IMOEX,D,07/09/20,000000,2929.9800000,2947.1700000,2925.5500000,2932.2900000,53483774599
IMOEX,D,08/09/20,000000,2939.5000000,2948.8800000,2875.9600000,2888.7900000,82332639046
IMOEX,D,09/09/20,000000,2879.7500000,2899.1700000,2872.9200000,2876.0700000,64443700495
IMOEX,D,10/09/20,000000,2889.5700000,2897.5500000,2858.6500000,2897.5500000,65787625355
IMOEX,D,11/09/20,000000,2887.6800000,2911.7100000,2874.4700000,2910.5100000,58206856278
IMOEX,D,14/09/20,000000,2918.2900000,2938.2400000,2918.2900000,2928.3800000,62169731197
IMOEX,D,15/09/20,000000,2936.4200000,2982.2000000,2932.3600000,2980.5800000,74748355784
IMOEX,D,16/09/20,000000,2982.4900000,2990.7400000,2960.6800000,2975.0100000,73285008183
IMOEX,D,17/09/20,000000,2947.5400000,2974.5400000,2945.7800000,2971.7400000,85774277598
IMOEX,D,18/09/20,000000,2976.1000000,2977.1300000,2944.2200000,2951.7900000,87835262045
IMOEX,D,21/09/20,000000,2946.1800000,2946.1800000,2857.7800000,2863.6700000,84915278078
IMOEX,D,22/09/20,000000,2874.0000000,2907.9800000,2868.3800000,2884.6600000,72694032937
IMOEX,D,23/09/20,000000,2933.3300000,2968.5500000,2916.2700000,2916.3900000,144057907966
IMOEX,D,24/09/20,000000,2906.0000000,2920.4600000,2880.3900000,2912.7600000,87868199396
IMOEX,D,25/09/20,000000,2912.8300000,2912.8300000,2870.1600000,2896.8300000,75662859146
IMOEX,D,28/09/20,000000,2909.6200000,2938.9400000,2909.6200000,2927.1700000,69770125370
IMOEX,D,29/09/20,000000,2938.3700000,2947.7500000,2889.2200000,2910.1200000,80159930229
IMOEX,D,30/09/20,000000,2908.1100000,2920.0300000,2893.8000000,2905.8100000,66808053460
IMOEX,D,01/10/20,000000,2911.0800000,2919.2500000,2882.8100000,2889.8000000,74033823738
IMOEX,D,02/10/20,000000,2840.7200000,2859.0100000,2824.6900000,2852.4200000,78844415008
IMOEX,D,05/10/20,000000,2860.5300000,2882.9400000,2845.6300000,2881.9800000,63509160152
IMOEX,D,06/10/20,000000,2885.3800000,2906.6500000,2883.6900000,2892.9900000,73021330701
IMOEX,D,07/10/20,000000,2883.5800000,2888.2000000,2838.4500000,2842.5800000,67235083006
IMOEX,D,08/10/20,000000,2850.6500000,2859.8700000,2837.0500000,2846.3900000,55803931185
IMOEX,D,09/10/20,000000,2841.4200000,2841.4600000,2811.0500000,2834.0900000,67564085234
IMOEX,D,12/10/20,000000,2834.3300000,2862.3600000,2827.5200000,2846.1400000,58718697811
IMOEX,D,13/10/20,000000,2846.0400000,2859.5200000,2822.9700000,2829.2300000,56828024719
IMOEX,D,14/10/20,000000,2829.8800000,2857.4700000,2824.1200000,2856.0800000,54266740542
IMOEX,D,15/10/20,000000,2849.2400000,2850.1100000,2803.9000000,2817.2900000,65315267335
IMOEX,D,16/10/20,000000,2819.0400000,2819.0400000,2785.8500000,2799.5400000,71062651944
IMOEX,D,19/10/20,000000,2804.2500000,2809.4200000,2787.5000000,2794.2700000,48808418102
IMOEX,D,20/10/20,000000,2785.9900000,2817.7300000,2774.1600000,2803.0600000,70200100872
IMOEX,D,21/10/20,000000,2811.8700000,2816.9000000,2782.3600000,2786.2300000,65964265507
IMOEX,D,22/10/20,000000,2784.1800000,2814.1200000,2783.3700000,2803.1700000,61193148610
IMOEX,D,23/10/20,000000,2807.3000000,2826.5300000,2799.6300000,2816.7000000,58028372135
IMOEX,D,26/10/20,000000,2812.4800000,2819.0500000,2785.5900000,2785.5900000,52620022209
IMOEX,D,27/10/20,000000,2784.1300000,2790.1900000,2758.0000000,2763.0300000,61439709363
IMOEX,D,28/10/20,000000,2758.8400000,2758.8400000,2680.8300000,2693.4600000,91471007602
IMOEX,D,29/10/20,000000,2704.5000000,2728.9700000,2682.6800000,2709.0400000,74274727007
IMOEX,D,30/10/20,000000,2698.9400000,2706.3400000,2664.4400000,2690.5900000,68437052454
IMOEX,D,02/11/20,000000,2681.1900000,2743.9800000,2658.4900000,2737.5400000,72875417364
IMOEX,D,03/11/20,000000,2753.9700000,2791.7700000,2750.2600000,2786.4200000,78312915395
IMOEX,D,05/11/20,000000,2824.4500000,2869.9100000,2812.6700000,2861.3900000,105075809980
IMOEX,D,06/11/20,000000,2843.7500000,2896.0700000,2832.9800000,2895.6200000,80150971975
IMOEX,D,09/11/20,000000,2922.4900000,2988.8800000,2910.4200000,2987.7500000,186313489561
IMOEX,D,10/11/20,000000,2963.2100000,3013.5700000,2943.4300000,2998.6100000,150143736891
IMOEX,D,11/11/20,000000,3004.2000000,3031.6900000,3004.2000000,3015.0300000,156821124273
IMOEX,D,12/11/20,000000,2996.4800000,3028.5200000,2988.0300000,3025.8300000,111789624957
IMOEX,D,13/11/20,000000,3001.5500000,3027.4500000,2995.1700000,3025.2200000,94095252969
IMOEX,D,16/11/20,000000,3064.1200000,3081.2800000,3046.7700000,3079.7400000,112988144821
IMOEX,D,17/11/20,000000,3083.4000000,3087.1900000,3027.7600000,3052.2200000,97608154857
IMOEX,D,18/11/20,000000,3042.6200000,3086.7700000,3035.5700000,3080.6800000,86636354933
IMOEX,D,19/11/20,000000,3064.8400000,3071.2500000,3040.6600000,3046.4900000,80620625898
IMOEX,D,20/11/20,000000,3048.2300000,3060.9100000,3035.5600000,3051.0400000,57915610051
IMOEX,D,23/11/20,000000,3066.9300000,3094.0600000,3042.6100000,3047.0600000,88577716531
IMOEX,D,24/11/20,000000,3075.6200000,3098.8300000,3053.1600000,3095.8400000,99136768324
IMOEX,D,25/11/20,000000,3117.4900000,3134.7100000,3089.1600000,3134.5200000,130490033334
IMOEX,D,26/11/20,000000,3144.4100000,3149.9000000,3119.4600000,3138.6200000,86266837452
IMOEX,D,27/11/20,000000,3131.9600000,3150.7800000,3112.4400000,3142.6800000,91351650896
IMOEX,D,30/11/20,000000,3130.5100000,3134.7900000,3093.7700000,3107.5800000,171152289792
IMOEX,D,01/12/20,000000,3115.5500000,3159.0300000,3114.0600000,3147.7900000,108122983884
IMOEX,D,02/12/20,000000,3152.5900000,3189.6100000,3139.9200000,3189.6100000,94905754026
IMOEX,D,03/12/20,000000,3187.1400000,3192.9800000,3141.4000000,3162.6700000,95166303487
IMOEX,D,04/12/20,000000,3172.3600000,3200.2300000,3171.6800000,3184.7200000,94447947565
IMOEX,D,07/12/20,000000,3179.0800000,3208.5300000,3172.2900000,3195.0800000,87797850802
IMOEX,D,08/12/20,000000,3182.1500000,3198.1000000,3150.8400000,3179.6100000,93323100829
IMOEX,D,09/12/20,000000,3184.6700000,3226.4800000,3182.5400000,3211.6600000,96133781825
