"<DATE>","<CLOSE>"
"10/26/2020","95.14"
"10/27/2020","93.83"
"10/28/2020","92.26"
"10/29/2020","92.45"
"10/30/2020","92.38"
"11/2/2020","93"
"11/3/2020","93.27"
"11/5/2020","93.89"
"11/6/2020","93.97"
"11/9/2020","95.6"
"11/10/2020","95.9"
"11/11/2020","95.15"
"11/12/2020","96.29"
"11/13/2020","96.89"
"11/16/2020","96.1"
"11/17/2020","95.74"
"11/18/2020","96.49"
"11/19/2020","95.17"
"11/20/2020","94.84"
"11/23/2020","95.5"
"11/24/2020","95.2"
"11/25/2020","95.03"
"11/26/2020","94.85"
"11/27/2020","96.18"
"11/30/2020","95.67"
"12/1/2020","95.9"
"12/2/2020","96.24"
"12/3/2020","97.25"
"12/4/2020","97.68"
"12/7/2020","96.53"
"12/8/2020","97.5"
"12/9/2020","96.98"
"12/10/2020","97.03"
"12/11/2020","96.27"
"12/14/2020","96.22"
"12/15/2020","95.64"
"12/16/2020","95.71"
"12/17/2020","95.6"
"12/18/2020","95.29"
"12/21/2020","94.35"
"12/22/2020","94.49"
"12/23/2020","93.99"
"12/24/2020","94.74"
"12/25/2020","94.95"
"12/28/2020","95.22"
"12/29/2020","95.91"
"12/30/2020","96.52"
"1/4/2021","96.86"
"1/5/2021","100.38"
"1/6/2021","99.16"
"1/8/2021","100.29"
"1/11/2021","99.58"
"1/12/2021","99.17"
"1/13/2021","99"
"1/14/2021","98.94"
"1/15/2021","98.93"
"1/18/2021","99.9"
"1/19/2021","98.76"
"1/20/2021","101.49"
"1/21/2021","101.17"
"1/22/2021","103.09"
"1/25/2021","104.64"
"1/26/2021","105.5"
"1/27/2021","103.61"
"1/28/2021","104.54"
"1/29/2021","101.03"
"2/1/2021","103.03"
"2/2/2021","102.36"
"2/3/2021","103.9"
"2/4/2021","104.46"
"2/5/2021","104.13"
