<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,D,22/03/21,000000,1.1883600,1.1947000,1.1873000,1.1932000,1208735
EURUSD,D,23/03/21,000000,1.1932200,1.1940900,1.1835000,1.1839600,1236944
EURUSD,D,24/03/21,000000,1.1839600,1.1851000,1.1807000,1.1811900,1016819
EURUSD,D,25/03/21,000000,1.1812700,1.1827800,1.1760000,1.1774700,1090291
EURUSD,D,26/03/21,000000,1.1775500,1.1805300,1.1770000,1.1792800,844396
EURUSD,D,28/03/21,000000,1.1793000,1.1793700,1.1784000,1.1787400,42856
EURUSD,D,29/03/21,000000,1.1787500,1.1794000,1.1759000,1.1767000,941706
EURUSD,D,30/03/21,000000,1.1767700,1.1774000,1.1710000,1.1723200,914036
EURUSD,D,31/03/21,000000,1.1723100,1.1759800,1.1702000,1.1726800,994216
EURUSD,D,01/04/21,000000,1.1726200,1.1782700,1.1711000,1.1777200,975967
EURUSD,D,02/04/21,000000,1.1776900,1.1786700,1.1747000,1.1761000,483927
EURUSD,D,04/04/21,000000,1.1734000,1.1767900,1.1734000,1.1766600,57371
EURUSD,D,05/04/21,000000,1.1767500,1.1819500,1.1736000,1.1816700,629140
EURUSD,D,06/04/21,000000,1.1815900,1.1877600,1.1794000,1.1873600,949743
EURUSD,D,07/04/21,000000,1.1873700,1.1914800,1.1859000,1.1872400,1049003
EURUSD,D,08/04/21,000000,1.1872300,1.1927500,1.1859000,1.1914500,1129944
EURUSD,D,09/04/21,000000,1.1915100,1.1920100,1.1866000,1.1900800,1068399
EURUSD,D,11/04/21,000000,1.1897000,1.1904100,1.1887700,1.1895300,48575
EURUSD,D,12/04/21,000000,1.1895800,1.1919200,1.1869000,1.1911800,1044590
EURUSD,D,13/04/21,000000,1.1911600,1.1956000,1.1876200,1.1953700,1231123
EURUSD,D,14/04/21,000000,1.1952000,1.1987400,1.1949000,1.1982800,1102128
EURUSD,D,15/04/21,000000,1.1982300,1.1993300,1.1954000,1.1969200,1069967
EURUSD,D,16/04/21,000000,1.1969300,1.1994800,1.1949000,1.1982300,954541
EURUSD,D,18/04/21,000000,1.1982000,1.1982000,1.1964700,1.1968600,53593
EURUSD,D,19/04/21,000000,1.1968900,1.2048100,1.1941000,1.2042400,1253064
EURUSD,D,20/04/21,000000,1.2042500,1.2079800,1.2021000,1.2032400,1226820
EURUSD,D,21/04/21,000000,1.2031400,1.2043700,1.1997000,1.2037100,1052657
EURUSD,D,22/04/21,000000,1.2037200,1.2069700,1.1992000,1.2013900,1320205
EURUSD,D,23/04/21,000000,1.2014400,1.2100000,1.2011000,1.2096500,1087948
EURUSD,D,25/04/21,000000,1.2098000,1.2098600,1.2087000,1.2089100,47895
EURUSD,D,26/04/21,000000,1.2089200,1.2117000,1.2059000,1.2079500,1112255
EURUSD,D,27/04/21,000000,1.2079500,1.2093000,1.2055000,1.2089100,1077118
EURUSD,D,28/04/21,000000,1.2089000,1.2135500,1.2054000,1.2134700,1347439
EURUSD,D,29/04/21,000000,1.2133900,1.2150000,1.2100000,1.2123000,1206639
EURUSD,D,30/04/21,000000,1.2123600,1.2126600,1.2015000,1.2019000,1212493
EURUSD,D,02/05/21,000000,1.2020000,1.2035000,1.2019400,1.2026900,40976
EURUSD,D,03/05/21,000000,1.2026200,1.2076200,1.2011000,1.2058000,996319
EURUSD,D,04/05/21,000000,1.2058800,1.2060100,1.1997000,1.2013700,1340245
EURUSD,D,05/05/21,000000,1.2014200,1.2026700,1.1984000,1.2007200,1156598
EURUSD,D,06/05/21,000000,1.2006700,1.2071900,1.1991000,1.2064800,1253290
EURUSD,D,07/05/21,000000,1.2064000,1.2171500,1.2051000,1.2162500,1440609
EURUSD,D,09/05/21,000000,1.2162000,1.2176900,1.2159800,1.2170400,74351
EURUSD,D,10/05/21,000000,1.2170500,1.2178300,1.2125700,1.2139700,1792410
EURUSD,D,11/05/21,000000,1.2140100,1.2181700,1.2121000,1.2144200,1990608
EURUSD,D,12/05/21,000000,1.2143200,1.2152200,1.2064000,1.2077400,2254439
EURUSD,D,13/05/21,000000,1.2077400,1.2106100,1.2050000,1.2076500,2228487
EURUSD,D,14/05/21,000000,1.2076500,1.2147700,1.2069000,1.2145100,1736827
EURUSD,D,16/05/21,000000,1.2148000,1.2151200,1.2137500,1.2149700,60788
EURUSD,D,17/05/21,000000,1.2149600,1.2169000,1.2124000,1.2156300,1642114
EURUSD,D,18/05/21,000000,1.2156100,1.2234100,1.2152000,1.2222300,1611453
EURUSD,D,19/05/21,000000,1.2222400,1.2245500,1.2158000,1.2170400,2078353
EURUSD,D,20/05/21,000000,1.2169600,1.2230100,1.2167000,1.2224200,1683860
EURUSD,D,21/05/21,000000,1.2224000,1.2239900,1.2159000,1.2178000,1681445
EURUSD,D,23/05/21,000000,1.2178000,1.2184400,1.2171000,1.2180700,61410
EURUSD,D,24/05/21,000000,1.2180600,1.2230000,1.2173000,1.2213900,1556051
EURUSD,D,25/05/21,000000,1.2213900,1.2266400,1.2210000,1.2247000,1682662
EURUSD,D,26/05/21,000000,1.2246000,1.2263000,1.2180000,1.2192000,1543405
EURUSD,D,27/05/21,000000,1.2191200,1.2215100,1.2173000,1.2192500,1602258
EURUSD,D,28/05/21,000000,1.2192700,1.2205000,1.2130600,1.2189000,1536989
EURUSD,D,30/05/21,000000,1.2194000,1.2200300,1.2187000,1.2189000,27227
EURUSD,D,31/05/21,000000,1.2189200,1.2234500,1.2181400,1.2232300,734819
EURUSD,D,01/06/21,000000,1.2232000,1.2254400,1.2209500,1.2216600,1186427
EURUSD,D,02/06/21,000000,1.2216600,1.2226500,1.2162000,1.2209200,1496397
EURUSD,D,03/06/21,000000,1.2209300,1.2214200,1.2116000,1.2129800,1452388
EURUSD,D,04/06/21,000000,1.2129800,1.2185800,1.2101900,1.2164000,1425512
EURUSD,D,06/06/21,000000,1.2159600,1.2167700,1.2159100,1.2166300,40363
EURUSD,D,07/06/21,000000,1.2166300,1.2201800,1.2142900,1.2189000,1160431
EURUSD,D,08/06/21,000000,1.2189700,1.2194200,1.2162000,1.2171600,1293376
EURUSD,D,09/06/21,000000,1.2171600,1.2218000,1.2169000,1.2178300,1083059
EURUSD,D,10/06/21,000000,1.2178300,1.2194700,1.2141200,1.2172400,1583708
EURUSD,D,11/06/21,000000,1.2172400,1.2193000,1.2090700,1.2108000,1256755
EURUSD,D,13/06/21,000000,1.2107000,1.2112200,1.2099700,1.2109400,44282
EURUSD,D,14/06/21,000000,1.2109300,1.2130600,1.2092000,1.2121600,1083358
EURUSD,D,15/06/21,000000,1.2121600,1.2147300,1.2099000,1.2124400,1184020
EURUSD,D,16/06/21,000000,1.2124400,1.2135000,1.1985000,1.1994900,1638628
EURUSD,D,17/06/21,000000,1.1995200,1.2006300,1.1890000,1.1912700,1971464
EURUSD,D,18/06/21,000000,1.1912800,1.1925000,1.1846000,1.1859200,1955966
EURUSD,D,20/06/21,000000,1.1857000,1.1877800,1.1854200,1.1870000,59748
EURUSD,D,21/06/21,000000,1.1870300,1.1921400,1.1846000,1.1911100,1744696
EURUSD,D,22/06/21,000000,1.1911700,1.1952700,1.1879000,1.1936000,1406866
EURUSD,D,23/06/21,000000,1.1936200,1.1970100,1.1910000,1.1929600,1383243
EURUSD,D,24/06/21,000000,1.1929600,1.1956300,1.1916000,1.1927700,1316437
EURUSD,D,25/06/21,000000,1.1927800,1.1975300,1.1924000,1.1933000,1189552
EURUSD,D,27/06/21,000000,1.1928000,1.1942100,1.1928000,1.1940700,40742
EURUSD,D,28/06/21,000000,1.1941200,1.1944500,1.1900000,1.1928400,1285564
EURUSD,D,29/06/21,000000,1.1928600,1.1930000,1.1876000,1.1899400,1273368
EURUSD,D,30/06/21,000000,1.1900100,1.1909000,1.1843000,1.1855000,1386635
EURUSD,D,01/07/21,000000,1.1855800,1.1884200,1.1836000,1.1844800,1378390
EURUSD,D,02/07/21,000000,1.1845700,1.1874300,1.1806000,1.1862000,1408653
EURUSD,D,04/07/21,000000,1.1837000,1.1869000,1.1837000,1.1855600,44997
EURUSD,D,05/07/21,000000,1.1855500,1.1880600,1.1850000,1.1862500,925971
EURUSD,D,06/07/21,000000,1.1862400,1.1895200,1.1805000,1.1822100,1580791
EURUSD,D,07/07/21,000000,1.1822100,1.1836400,1.1780000,1.1792100,1500240
EURUSD,D,08/07/21,000000,1.1792900,1.1867800,1.1782000,1.1846100,1710517
EURUSD,D,09/07/21,000000,1.1845500,1.1881200,1.1823000,1.1874600,1322239
EURUSD,D,11/07/21,000000,1.1850000,1.1878500,1.1850000,1.1872400,43118
EURUSD,D,12/07/21,000000,1.1872400,1.1880200,1.1834000,1.1862600,776966
EURUSD,D,13/07/21,000000,1.1861900,1.1875100,1.1770000,1.1774000,925275
EURUSD,D,14/07/21,000000,1.1774800,1.1838800,1.1770000,1.1832800,878359
EURUSD,D,15/07/21,000000,1.1832800,1.1850600,1.1794000,1.1810600,898130
EURUSD,D,16/07/21,000000,1.1811200,1.1822400,1.1790000,1.1805000,801059
EURUSD,D,18/07/21,000000,1.1794000,1.1813900,1.1794000,1.1812600,41805
EURUSD,D,19/07/21,000000,1.1812400,1.1824500,1.1762000,1.1791600,1610374
EURUSD,D,20/07/21,000000,1.1791600,1.1802500,1.1754000,1.1781100,1584928
EURUSD,D,21/07/21,000000,1.1781000,1.1805000,1.1750000,1.1791400,1429121
